oil_urals,gdp_quart,gdp_quart_growth,cpi,ppi,gdp_deflator,balance_trade,balance_trade_growth,usdrub,eurrub,brent,net_capital_export,gdp_annual,gdp_annual_growth,average_provision_of_build_contract,average_provision_of_build_contract_moscow,rts,micex,micex_rgbi_tr,micex_cbi_tr,deposits_value,deposits_growth,deposits_rate,mortgage_value,mortgage_growth,mortgage_rate,grp,grp_growth,income_per_cap,real_dispos_income_per_cap_growth,salary,salary_growth,fixed_basket,retail_trade_turnover,retail_trade_turnover_per_cap,retail_trade_turnover_growth,labor_force,unemployment,employment,invest_fixed_capital_per_cap,invest_fixed_assets,profitable_enterpr_share,unprofitable_enterpr_share,share_own_revenues,overdue_wages_per_cap,fin_res_per_cap,marriages_per_1000_cap,divorce_rate,construction_value,invest_fixed_assets_phys,pop_natural_increase,pop_migration,pop_total_inc,childbirth,mortality,housing_fund_sqm,lodging_sqm_per_cap,water_pipes_share,baths_share,sewerage_share,gas_share,hot_water_share,electric_stove_share,heating_share,old_house_share,average_life_exp,infant_mortarity_per_1000_cap,perinatal_mort_per_1000_cap,incidence_population,rent_price_4+room_bus,rent_price_3room_bus,rent_price_2room_bus,rent_price_1room_bus,rent_price_3room_eco,rent_price_2room_eco,rent_price_1room_eco,load_of_teachers_preschool_per_teacher,child_on_acc_pre_school,load_of_teachers_school_per_teacher,students_state_oneshift,modern_education_share,old_education_build_share,provision_doctors,provision_nurse,load_on_doctors,power_clinics,hospital_beds_available_per_cap,hospital_bed_occupancy_per_year,provision_retail_space_sqm,provision_retail_space_modern_sqm,turnover_catering_per_cap,theaters_viewers_per_1000_cap,seats_theather_rfmin_per_100000_cap,museum_visitis_per_100_cap,bandwidth_sports,population_reg_sports_share,students_reg_sports_share,apartment_build,apartment_fund_sqm
76.0999984741,,,,,,,,,,,,38807.1992188,-0.0782085806131,5.0,,,,,,7484970,,,142968,,13.720000267,8375.86425781,,30789.1992188,0.0379999987781,38410.5,,11443.6298828,2882.41699219,251.48399353,106.800003052,6436.24414062,0.0179999992251,0.689999997616,63932.0,732.760620117,0.716000020504,0.284000009298,0.962915062904,12865.0,233.351531982,8.0,3.90000009537,553874.875,95.8000030518,-0.300000011921,14.1000003815,13.8000001907,10.6999998093,11.0,216.0,18.715883255,99.9000015259,99.8000030518,99.5999984741,44.4000015259,95.6999969482,55.0,99.9000015259,0.300000011921,74.1999969482,6.09999990463,5.86999988556,696.599975586,,,,,,,,721.477783203,661,1356.11254883,,0,0,18.0,99.4000015259,7872.84814453,162.899993896,,,,690.0,6221.0,527.0,0.409999996424,993.0,,,63.0299987793,22825.0,
76.0999984741,,,,,,,,,,,,38807.1992188,-0.0782085806131,5.0,,,,,175.149993896,7484970,,,142968,,13.720000267,8375.86425781,,30789.1992188,0.0379999987781,38410.5,,11443.6298828,2882.41699219,251.48399353,106.800003052,6436.24414062,0.0179999992251,0.689999997616,63932.0,732.760620117,0.716000020504,0.284000009298,0.962915062904,12865.0,233.351531982,8.0,3.90000009537,553874.875,95.8000030518,-0.300000011921,14.1000003815,13.8000001907,10.6999998093,11.0,216.0,18.715883255,99.9000015259,99.8000030518,99.5999984741,44.4000015259,95.6999969482,55.0,99.9000015259,0.300000011921,74.1999969482,6.09999990463,5.86999988556,696.599975586,,,,,,,,721.477783203,661,1356.11254883,,857,857,18.0,99.4000015259,7872.84814453,162.899993896,,,,690.0,6221.0,527.0,0.409999996424,993.0,,,63.0299987793,22825.0,
76.0999984741,,,,,,,,,,,,38807.1992188,-0.0782085806131,5.0,,,,,178.660003662,7484970,,,142968,,13.720000267,8375.86425781,,30789.1992188,0.0379999987781,38410.5,,11443.6298828,2882.41699219,251.48399353,106.800003052,6436.24414062,0.0179999992251,0.689999997616,63932.0,732.760620117,0.716000020504,0.284000009298,0.962915062904,12865.0,233.351531982,8.0,3.90000009537,553874.875,95.8000030518,-0.300000011921,14.1000003815,13.8000001907,10.6999998093,11.0,216.0,18.715883255,99.9000015259,99.8000030518,99.5999984741,44.4000015259,95.6999969482,55.0,99.9000015259,0.300000011921,74.1999969482,6.09999990463,5.86999988556,696.599975586,,,,,,,,721.477783203,661,1356.11254883,,866,866,18.0,99.4000015259,7872.84814453,162.899993896,,,,690.0,6221.0,527.0,0.409999996424,993.0,,,63.0299987793,22825.0,
76.0999984741,,,,,,,,29.9050006866,43.4053993225,80.1200027466,,38807.1992188,-0.0782085806131,5.0,,,,,183.440002441,7484970,,,142968,,13.720000267,8375.86425781,,30789.1992188,0.0379999987781,38410.5,,11443.6298828,2882.41699219,251.48399353,106.800003052,6436.24414062,0.0179999992251,0.689999997616,63932.0,732.760620117,0.716000020504,0.284000009298,0.962915062904,12865.0,233.351531982,8.0,3.90000009537,553874.875,95.8000030518,-0.300000011921,14.1000003815,13.8000001907,10.6999998093,11.0,216.0,18.715883255,99.9000015259,99.8000030518,99.5999984741,44.4000015259,95.6999969482,55.0,99.9000015259,0.300000011921,74.1999969482,6.09999990463,5.86999988556,696.599975586,,,,,,,,721.477783203,661,1356.11254883,,858,858,18.0,99.4000015259,7872.84814453,162.899993896,,,,690.0,6221.0,527.0,0.409999996424,993.0,,,63.0299987793,22825.0,
76.0999984741,,,,,,,,29.8360004425,42.9599990845,80.5899963379,,38807.1992188,-0.0782085806131,5.0,,,,,183.440002441,7484970,,,142968,,13.720000267,8375.86425781,,30789.1992188,0.0379999987781,38410.5,,11443.6298828,2882.41699219,251.48399353,106.800003052,6436.24414062,0.0179999992251,0.689999997616,63932.0,732.760620117,0.716000020504,0.284000009298,0.962915062904,12865.0,233.351531982,8.0,3.90000009537,553874.875,95.8000030518,-0.300000011921,14.1000003815,13.8000001907,10.6999998093,11.0,216.0,18.715883255,99.9000015259,99.8000030518,99.5999984741,44.4000015259,95.6999969482,55.0,99.9000015259,0.300000011921,74.1999969482,6.09999990463,5.86999988556,696.599975586,,,,,,,,721.477783203,661,1356.11254883,,859,859,18.0,99.4000015259,7872.84814453,162.899993896,,,,690.0,6221.0,527.0,0.409999996424,993.0,,,63.0299987793,22825.0,
76.0999984741,,,,,,,,29.7150001526,42.9137992859,81.8899993896,,38807.1992188,-0.0782085806131,5.0,,,,,184.869995117,7484970,,,142968,,13.720000267,8375.86425781,,30789.1992188,0.0379999987781,38410.5,,11443.6298828,2882.41699219,251.48399353,106.800003052,6436.24414062,0.0179999992251,0.689999997616,63932.0,732.760620117,0.716000020504,0.284000009298,0.962915062904,12865.0,233.351531982,8.0,3.90000009537,553874.875,95.8000030518,-0.300000011921,14.1000003815,13.8000001907,10.6999998093,11.0,216.0,18.715883255,99.9000015259,99.8000030518,99.5999984741,44.4000015259,95.6999969482,55.0,99.9000015259,0.300000011921,74.1999969482,6.09999990463,5.86999988556,696.599975586,,,,,,,,721.477783203,661,1356.11254883,,860,860,18.0,99.4000015259,7872.84814453,162.899993896,,,,690.0,6221.0,527.0,0.409999996424,993.0,,,63.0299987793,22825.0,
76.0999984741,,,,,,,,29.7749996185,42.7142982483,81.5100021362,,38807.1992188,-0.0782085806131,5.0,,,,,187.970001221,7484970,,,142968,,13.720000267,8375.86425781,,30789.1992188,0.0379999987781,38410.5,,11443.6298828,2882.41699219,251.48399353,106.800003052,6436.24414062,0.0179999992251,0.689999997616,63932.0,732.760620117,0.716000020504,0.284000009298,0.962915062904,12865.0,233.351531982,8.0,3.90000009537,553874.875,95.8000030518,-0.300000011921,14.1000003815,13.8000001907,10.6999998093,11.0,216.0,18.715883255,99.9000015259,99.8000030518,99.5999984741,44.4000015259,95.6999969482,55.0,99.9000015259,0.300000011921,74.1999969482,6.09999990463,5.86999988556,696.599975586,,,,,,,,721.477783203,661,1356.11254883,,861,861,18.0,99.4000015259,7872.84814453,162.899993896,,,,690.0,6221.0,527.0,0.409999996424,993.0,,,63.0299987793,22825.0,
76.0999984741,,,,,,,,29.7749996185,42.9359016418,81.3700027466,,38807.1992188,-0.0782085806131,5.0,,,,,187.970001221,7484970,,,142968,,13.720000267,8375.86425781,,30789.1992188,0.0379999987781,38410.5,,11443.6298828,2882.41699219,251.48399353,106.800003052,6436.24414062,0.0179999992251,0.689999997616,63932.0,732.760620117,0.716000020504,0.284000009298,0.962915062904,12865.0,233.351531982,8.0,3.90000009537,553874.875,95.8000030518,-0.300000011921,14.1000003815,13.8000001907,10.6999998093,11.0,216.0,18.715883255,99.9000015259,99.8000030518,99.5999984741,44.4000015259,95.6999969482,55.0,99.9000015259,0.300000011921,74.1999969482,6.09999990463,5.86999988556,696.599975586,,,,,,,,721.477783203,661,1356.11254883,,862,862,18.0,99.4000015259,7872.84814453,162.899993896,,,,690.0,6221.0,527.0,0.409999996424,993.0,,,63.0299987793,22825.0,
76.0999984741,,,,,,,,29.7749996185,42.9359016418,81.3700027466,,38807.1992188,-0.0782085806131,5.0,,,,,190.770004272,7484970,,,142968,,13.720000267,8375.86425781,,30789.1992188,0.0379999987781,38410.5,,11443.6298828,2882.41699219,251.48399353,106.800003052,6436.24414062,0.0179999992251,0.689999997616,63932.0,732.760620117,0.716000020504,0.284000009298,0.962915062904,12865.0,233.351531982,8.0,3.90000009537,553874.875,95.8000030518,-0.300000011921,14.1000003815,13.8000001907,10.6999998093,11.0,216.0,18.715883255,99.9000015259,99.8000030518,99.5999984741,44.4000015259,95.6999969482,55.0,99.9000015259,0.300000011921,74.1999969482,6.09999990463,5.86999988556,696.599975586,,,,,,,,721.477783203,661,1356.11254883,,863,863,18.0,99.4000015259,7872.84814453,162.899993896,,,,690.0,6221.0,527.0,0.409999996424,993.0,,,63.0299987793,22825.0,
76.0999984741,,,,,,,,29.7749996185,42.9359016418,81.3700027466,,38807.1992188,-0.0782085806131,5.0,,,,,192.38999939,7484970,,,142968,,13.720000267,8375.86425781,,30789.1992188,0.0379999987781,38410.5,,11443.6298828,2882.41699219,251.48399353,106.800003052,6436.24414062,0.0179999992251,0.689999997616,63932.0,732.760620117,0.716000020504,0.284000009298,0.962915062904,12865.0,233.351531982,8.0,3.90000009537,553874.875,95.8000030518,-0.300000011921,14.1000003815,13.8000001907,10.6999998093,11.0,216.0,18.715883255,99.9000015259,99.8000030518,99.5999984741,44.4000015259,95.6999969482,55.0,99.9000015259,0.300000011921,74.1999969482,6.09999990463,5.86999988556,696.599975586,,,,,,,,721.477783203,661,1356.11254883,,864,864,18.0,99.4000015259,7872.84814453,162.899993896,,,,690.0,6221.0,527.0,0.409999996424,993.0,,,63.0299987793,22825.0,
