id,price_doc
30474,5665510
30475,8110533
30476,5022553
30477,5738983
30478,5374991.5
30479,8870014
30480,4724970
30481,4618572
30482,4755039.5
30483,4936124.5
30484,6372547.5
30485,5326306
30486,3807581
30487,4022573.75
30488,6547103
30489,6791808
30490,21523440
30491,18469832
30492,5671089
30493,14182856
30494,7063178
30495,8787711
30496,8535206
30497,8075246
30498,4624482
30499,7564398.5
30500,11434282
30501,6530403.5
30502,3293505.75
30503,6004665.5
30504,5396178
30505,11788630
30506,3363419.75
30507,5206809
30508,5759072
30509,7605688
30510,9147120
30511,5842956
30512,6349865
30513,4673384
30514,3215748.5
30515,9940740
30516,6406335.5
30517,10513381
30518,7774617.5
30519,4437615
30520,6259897
30521,5306133
30522,7920424
30523,5914532.5
30524,9560864
30525,10068129
30526,5296335
30527,5336439.5
30528,6132038
30529,6755980.5
30530,6595508
30531,14990714
30532,5036222.5
30533,9329096
30534,7276519
30535,9401405
30536,6220518.5
30537,11728345
30538,5111688.5
30539,10095185
30540,9524008
30541,6470814.5
30542,2262263.75
30543,5686420.5
30544,6718368
30545,8842396
30546,4533229
30547,9025839
30548,4840886.5
30549,5523122.5
30550,12527217
30551,5529747.5
30552,2026364.375
30553,6779616
30554,10709580
30555,6649564
30556,8148188
30557,6681953
30558,9645413
30559,6620615
30560,5611485
30561,6630459.5
30562,12439525
30563,4454630.5
30564,6706429.5
30565,6270377
30566,7325467
30567,2162340.75
30568,9166227
30569,9170126
30570,6639254.5
30571,6788499
30572,5391630.5
30573,6460689.5
30574,5766832
30575,7647538.5
30576,4966533.5
30577,3648531.75
30578,3215895.75
30579,6719021.5
30580,4238155
30581,5601160.5
30582,10764670
30583,7316090.5
30584,4319215
30585,2572996
30586,8840280
30587,6375039.5
30588,7406207
30589,7053188.5
30590,13746915
30591,5215242.5
30592,6396061.5
30593,8086258.5
30594,8282614.5
30595,5324432
30596,7308545
30597,6519756
30598,9520956
30599,12894194
30600,4998908.5
30601,5969368.5
30602,1996172.125
30603,12969646
30604,4621136
30605,6714877
30606,13629845
30607,6575329.5
30608,8717154
30609,6789865
30610,3125397.75
30611,5809712
30612,6869286
30613,7532694.5
30614,18243620
30615,6934713
30616,5948433
30617,9565297
30618,4966155
30619,4225208.5
30620,2844673
30621,8221961
30622,7318728.5
30623,5833864
30624,7186719.5
30625,8577826
30626,6128676
30627,6987130
30628,6466989.5
30629,5359559
30630,4493929.5
30631,6415359.5
30632,3899295.5
30633,5864801.5
30634,11399636
30635,9472828
30636,5613449.5
30637,9541226
30638,6061880.5
30639,7443807.5
30640,4977254.5
30641,7767518
30642,6856811
30643,7244128.5
30644,9558239
30645,7454292.5
30646,5254998.5
30647,5357591.5
30648,24556264
30649,2657967.5
30650,4751200.5
30651,3369291.5
30652,4843209.5
30653,7217827
30654,4776264
30655,11840143
30656,4293076.5
30657,6044966
30658,9436977
30659,5174667
30660,8431046
30661,6999535
30662,8770480
30663,14260925
30664,12583326
30665,6728313
30666,2751787.5
30667,4296553.5
30668,8923067
30669,5129386
30670,2659344.25
30671,6835644
30672,14166391
30673,10501977
30674,11087835
30675,2236344.75
30676,6374273.5
30677,4331792.5
30678,16451931
30679,5582496
30680,5339600.5
30681,2719863.25
30682,8864137
30683,10005911
30684,4823085.5
30685,6530540.5
30686,10114400
30687,5278469.5
30688,4921187
30689,12070492
30690,24499608
30691,4504893
30692,6252427
30693,10329993
30694,5948467
30695,6379406.5
30696,6519370.5
30697,13584323
30698,7320166.5
30699,6150064.5
30700,5406397.5
30701,9558239
30702,5717694
30703,4012547
30704,11423753
30705,8386012
30706,23323444
30707,3413513.5
30708,13579505
30709,5888508
30710,5642793
30711,4896095.5
30712,4338163.5
30713,6426259.5
30714,7614963.5
30715,4280497
30716,9952161
30717,6366625
30718,10342571
30719,14962834
30720,6548882.5
30721,4194111.25
30722,6716568
30723,6619188
30724,13879490
30725,6920891.5
30726,11809335
30727,9966350
30728,12384459
30729,3289801.5
30730,6284589
30731,6432936.5
30732,3998535.25
30733,10328220
30734,7135091
30735,5890867
30736,5579648.5
30737,6440671.5
30738,5933956.5
30739,4099901.75
30740,7190949.5
30741,11603386
30742,4552717
30743,5355042.5
30744,9643058
30745,6895724.5
30746,6100813.5
30747,16366862
30748,17425556
30749,4631570.5
30750,6613812
30751,3696252.75
30752,7288617.5
30753,9322906
30754,5485307
30755,4373914.5
30756,8121012.5
