id,price_doc
30474,5223082.61443
30475,8763339.41021
30476,4923760.78786
30477,5822250.23093
30478,5105742.62952
30479,8419269.95177
30480,5006151.31558
30481,4671063.95936
30482,5301255.57347
30483,5043140.18709
30484,5750649.05207
30485,5059797.13397
30486,3969866.41151
30487,4632391.08664
30488,6114498.42187
30489,6790140.46258
30490,21663411.9529
30491,18469832
30492,5671089
30493,11018951.1135
30494,7063178
30495,11581791.0309
30496,8834220.8043
30497,9653518.07732
30498,4299456.45062
30499,6321725.12822
30500,10141824.1199
30501,6410220.20361
30502,3383547.31173
30503,6004665.5
30504,5538271.27269
30505,12286594.677
30506,2879480.84455
30507,5078924.6535
30508,6043794.17948
30509,7854023.6871
30510,9147120
30511,6270207.30062
30512,5643895.27751
30513,4519954.37133
30514,3215748.5
30515,9426702.3576
30516,6038676.65324
30517,8699452.38597
30518,6959105.11197
30519,4784763.46735
30520,6740441.23709
30521,4565614.14512
30522,8197471.83642
30523,5748607.99906
30524,9037289.47507
30525,8944977.4755
30526,5083827.49653
30527,5573023.40593
30528,5825785.9293
30529,7047343.57429
30530,5895659.04543
30531,14838551.8982
30532,5036222.5
30533,9924032.3608
30534,6823935.1967
30535,9025582.9066
30536,6005476.87444
30537,11141558.3244
30538,4889906.03952
30539,7819786.55713
30540,9336983.00253
30541,6470814.5
30542,2228759.89208
30543,5155297.76812
30544,5513671.74196
30545,8341026.03593
30546,4296022.53482
30547,9071289.0126
30548,5377255.55338
30549,5386639.52766
30550,11485578.9168
30551,5371163.28322
30552,2163979.30865
30553,7324399.77923
30554,11565810.7913
30555,7261173.66105
30556,7598448.57544
30557,8289828.14185
30558,8856500.21948
30559,7675310.26302
30560,5611485
30561,6630459.5
30562,11342533.3314
30563,4665420.96921
30564,7029125.41963
30565,6915366.84247
30566,7325467
30567,2162340.75
30568,10535878.0791
30569,9170126
30570,6639254.5
30571,6396969.64454
30572,4972905.61166
30573,6147164.6265
30574,5766832
30575,8724623.00464
30576,4966533.5
30577,3476054.70417
30578,3224646.84936
30579,6608812.73491
30580,4413836.20675
30581,5259799.91885
30582,10870067.9412
30583,7002025.97216
30584,4208125.53027
30585,3016068.34911
30586,9153656.04949
30587,5825204.35661
30588,7406207
30589,7053188.5
30590,12045873.0503
30591,4610356.53568
30592,7056698.5635
30593,8968224.98224
30594,8131579.12091
30595,4900027.06453
30596,7057995.54644
30597,6569459.57399
30598,9880184.52449
30599,8791973.29047
30600,5798400.3401
30601,6178647.56536
30602,2208579.25951
30603,11593992.209
30604,4614737.4597
30605,6725056.38394
30606,20580029.5236
30607,6968177.41744
30608,9064352.63109
30609,6210436.0859
30610,3237405.69606
30611,5987564.5997
30612,6869286
30613,7532694.5
30614,18237632.6968
30615,7662755.97816
30616,6285660.40579
30617,9022932.02109
30618,4452560.25209
30619,4689769.14427
30620,2999229.51168
30621,8639884.89922
30622,7977654.27065
30623,6126527.74929
30624,6828489.69207
30625,7278683.44666
30626,5335997.27181
30627,6166725.0803
30628,6129294.7848
30629,5249188.86768
30630,4493929.5
30631,6415359.5
30632,4378436.89706
30633,5975815.79512
30634,11100130.6829
30635,9403358.70153
30636,5613449.5
30637,9541226
30638,6061880.5
30639,7457828.73021
30640,5345563.15763
30641,8258324.41965
30642,5768547.28804
30643,8172560.33721
30644,9558239
30645,7896060.08092
30646,4879992.68826
30647,4946250.92249
30648,18159020.3946
30649,2912158.06283
30650,4819016.13014
30651,3280322.20558
30652,4685749.97903
30653,8498812.63874
30654,4871800.98087
30655,11840143
30656,4021733.07964
30657,6044966
30658,9436977
30659,5133477.80762
30660,8704957.74544
30661,6999535
30662,8911409.95025
30663,16603297.8304
30664,14095413.2572
30665,6728313
30666,2682925.31207
30667,4307719.33733
30668,8089167.8321
30669,4561255.54561
30670,2887217.26533
30671,7250348.46794
30672,14166391
30673,9275051.64915
30674,11087835
30675,2273900.26484
30676,7280712.85065
30677,3785876.41677
30678,15048479.8964
30679,6034065.86891
30680,5486670.95629
30681,2548787.51891
30682,7950529.93078
30683,9987374.60571
30684,5350997.87073
30685,7217373.90113
30686,9716263.15361
30687,5069700.19476
30688,4243535.36827
30689,11906554.7681
30690,17600489.526
30691,4519062.81319
30692,6252427
30693,9854915.67087
30694,5352681.01398
30695,6693898.02111
30696,6923922.11524
30697,16718734.2483
30698,6599107.344
30699,6150064.5
30700,5033038.26061
30701,9409095.20141
30702,5202033.22999
30703,4034477.33791
30704,12080481.5642
30705,8295977.64067
30706,15851224.1422
30707,3754605.49875
30708,11927128.7485
30709,6057625.72128
30710,5642793
30711,4823048.62949
30712,4062755.78047
30713,6177899.85356
30714,6131905.5947
30715,3887809.39394
30716,9392713.60914
30717,5707546.7323
30718,10342571
30719,13349683.1588
30720,5796976.32127
30721,3244649.54439
30722,6716568
30723,6899250.99704
30724,11294481.9255
30725,7043769.89667
30726,11283306.1306
30727,9385789.70963
30728,10416927.6211
30729,3289801.5
30730,7052467.58238
30731,7080642.98264
30732,4359023.10217
30733,5819064.20056
30734,6772657.50463
30735,5784870.6148
30736,6228859.35738
30737,6755175.90321
30738,5442970.88497
30739,4016900.18581
30740,7047189.31522
30741,12765479.4684
30742,4603941.19769
30743,5015505.91154
30744,10881951.7457
30745,7355580.5021
30746,5885148.26638
30747,15811421.4685
30748,14499122.6526
30749,4195141.59776
30750,6259351.27792
30751,3485010.82917
30752,9155093.41594
30753,8215350.62533
30754,5028230.20784
30755,3494188.29062
30756,7532503.06511
30757,5336164.5
30758,11016425.907
30759,6209698.32656
30760,4896001.15402
30761,8484219.29787
30762,7488651
30763,12139613.2599
30764,5860500.9388
30765,5626501.50912
30766,3831380.56377
30767,9738064.32289
30768,4699953.51165
30769,6055265.16557
30770,6676449.5
30771,3013742.5
30772,7522317.82018
30773,7837127.32573
30774,6042706.31662
30775,11134278.8081
30776,5702278
30777,5784552.25959
30778,8528666.40451
30779,6358034.39471
30780,7236774.63912
30781,6798265.99978
30782,5626876.34673
30783,5903523.23069
30784,3652023.64075
30785,4180002.59501
30786,4541845
30787,7646102.83037
30788,5855291.25834
30789,7123820.47546
30790,6243968.05761
30791,9432614.43175
30792,6761915.84267
30793,10043138.8795
30794,13245156.541
30795,11575699.1128
30796,12624660.8027
30797,14685199.9632
30798,2820032.13983
30799,10345233.1673
30800,13573993.0003
30801,6146588.19561
30802,18701540.4463
30803,2637914.5
30804,3890793.94683
30805,15797408.2198
30806,6765009.5148
30807,5917047.0669
30808,11618845.6971
30809,5125471.11103
30810,9388859.97807
30811,4379811.48394
30812,4942805.7371
30813,4779399.71188
30814,2990865.63079
30815,3346883.5
30816,8425388.23902
30817,2250112.16926
30818,9394818.29251
30819,9962880.50459
30820,5039880.79472
30821,15697764.9779
30822,9586826.14936
30823,6929820.58251
30824,3788586.81068
30825,5699742.92731
30826,7991086.39385
30827,5818403.2507
30828,5884735.5
30829,6258768.35653
30830,10126005.3187
30831,5593995.25755
30832,5488842.41398
30833,5157967.30995
30834,4176175.29356
30835,6683913.51243
30836,6717054.85089
30837,5365293.17176
30838,3873935.28744
30839,5854284.5
30840,12869444.5628
30841,11212163.0448
30842,7016094.27545
30843,5195234.0906
30844,8308223
30845,8329299.59159
30846,4991493.76915
30847,5834938.7408
30848,9183302.61062
30849,4707584.77863
30850,4335363.5
30851,4975776.1196
30852,7556272.13562
30853,3960640.92193
30854,5369118.22709
30855,7268191.57609
